# of Solutions,avg. Solution Length,Time (micro-seconds),Median Solution Length, Median Set Value,Sum of Set,Target Value,SpecificSolutionLength,SpecificSolutionMedian,Occurence
0,0.0000,383,0,436,0,0,19,302,
0,0.0000,452,0,357,0,0,19,257,
0,0.0000,61,0,473,0,0,19,278,
0,0.0000,260,0,444,0,0,19,244,
0,0.0000,773,0,311,0,0,19,287,
0,0.0000,1622,0,566,0,0,20,460,
0,0.0000,261,0,635,0,0,20,441,
0,0.0000,197,0,568,0,0,20,395,
0,0.0000,217,0,498,0,0,20,271,
0,0.0000,312,0,567,0,0,20,241,
0,0.0000,6484,0,688,0,0,20,384,
0,0.0000,1828,0,556,0,0,21,381,
0,0.0000,1237,0,488,0,0,21,455,
0,0.0000,779,0,388,0,0,21,240,
0,0.0000,12,0,893,0,0,0,0,
0,0.0000,37,0,353,0,0,0,0,
0,0.0000,35,0,375,0,0,0,0,
0,0.0000,16,0,372,0,0,0,0,
0,0.0000,19,0,144,0,0,0,0,
0,0.0000,23,0,500,0,0,0,0,
0,0.0000,21,0,555,0,0,0,0,
0,0.0000,29,0,694,0,0,0,0,
0,0.0000,20,0,678,0,0,0,0,
0,0.0000,19,0,845,0,0,0,0,
0,0.0000,43,0,645,0,0,0,0,
0,0.0000,37,0,365,0,0,0,0,
0,0.0000,70,0,488,0,0,0,0,
0,0.0000,34,0,236,0,0,0,0,
0,0.0000,45,0,332,0,0,0,0,
0,0.0000,45,0,686,0,0,0,0,
0,0.0000,24,0,512,0,0,7,458,
0,0.0000,27,0,422,0,0,0,0,
0,0.0000,22,0,369,0,0,0,0,
0,0.0000,49,0,500,0,0,0,0,
0,0.0000,48,0,274,0,0,0,0,
0,0.0000,34,0,620,0,0,0,0,
0,0.0000,34,0,413,0,0,0,0,
0,0.0000,34,0,598,0,0,0,0,
0,0.0000,48,0,468,0,0,0,0,
0,0.0000,22,0,195,0,0,9,195,
0,0.0000,74,0,348,0,0,0,0,
0,0.0000,60,0,435,0,0,0,0,
0,0.0000,77,0,394,0,0,0,0,
